idx,group,sigma_rad,p,runID,Photon_Hit_si,lightCollectionEfficiency,Escaped_CrystalAbsorbed,Escaped_TopAir,Escaped_SideAir,Escaped_PTFE,Escaped_Other,Mean_IncidenceAngle_deg,Mean_HitCount,log,mac,status,error,scan
0,sigma_sweep_p0.8,0.0,0.8,0,4597.0,0.4597,468.0,0.0,0.0,633.0,4302.0,21.4261,1.0,logs/00_sigma_sweep_p0.8_sigma0_p0.8.log,mac/00_sigma_sweep_p0.8_sigma0_p0.8.mac,ok,,sigma_sweep_p0p8
1,sigma_sweep_p0.8,0.1,0.8,0,5486.0,0.5486,465.0,0.0,0.0,623.0,3426.0,20.0116,1.0,logs/01_sigma_sweep_p0.8_sigma0.1_p0.8.log,mac/01_sigma_sweep_p0.8_sigma0.1_p0.8.mac,ok,,sigma_sweep_p0p8
2,sigma_sweep_p0.8,0.2,0.8,0,5604.0,0.5604,472.0,0.0,0.0,626.0,3298.0,19.9068,1.0,logs/02_sigma_sweep_p0.8_sigma0.2_p0.8.log,mac/02_sigma_sweep_p0.8_sigma0.2_p0.8.mac,ok,,sigma_sweep_p0p8
3,sigma_sweep_p0.8,0.3,0.8,0,5579.0,0.5579,457.0,0.0,0.0,569.0,3395.0,20.5686,1.0,logs/03_sigma_sweep_p0.8_sigma0.3_p0.8.log,mac/03_sigma_sweep_p0.8_sigma0.3_p0.8.mac,ok,,sigma_sweep_p0p8
4,sigma_sweep_p0.8,0.4,0.8,0,5602.0,0.5602,453.0,0.0,0.0,587.0,3358.0,20.8067,1.0,logs/04_sigma_sweep_p0.8_sigma0.4_p0.8.log,mac/04_sigma_sweep_p0.8_sigma0.4_p0.8.mac,ok,,sigma_sweep_p0p8
5,sigma_sweep_p0.8,0.5,0.8,0,5642.0,0.5642,447.0,0.0,0.0,548.0,3363.0,21.3016,1.0,logs/05_sigma_sweep_p0.8_sigma0.5_p0.8.log,mac/05_sigma_sweep_p0.8_sigma0.5_p0.8.mac,ok,,sigma_sweep_p0p8
6,sigma_sweep_p0.8,0.6000000000000001,0.8,0,5717.0,0.5717,453.0,0.0,0.0,544.0,3286.0,21.0162,1.0,logs/06_sigma_sweep_p0.8_sigma0.6_p0.8.log,mac/06_sigma_sweep_p0.8_sigma0.6_p0.8.mac,ok,,sigma_sweep_p0p8
7,sigma_sweep_p0.8,0.7000000000000001,0.8,0,5719.0,0.5719,437.0,0.0,0.0,530.0,3314.0,21.8129,1.0,logs/07_sigma_sweep_p0.8_sigma0.7_p0.8.log,mac/07_sigma_sweep_p0.8_sigma0.7_p0.8.mac,ok,,sigma_sweep_p0p8
8,sigma_sweep_p0.8,0.8,0.8,0,5660.0,0.566,418.0,0.0,0.0,555.0,3367.0,21.6796,1.0,logs/08_sigma_sweep_p0.8_sigma0.8_p0.8.log,mac/08_sigma_sweep_p0.8_sigma0.8_p0.8.mac,ok,,sigma_sweep_p0p8
9,sigma_sweep_p0.8,0.9,0.8,0,5806.0,0.5806,430.0,0.0,0.0,528.0,3236.0,21.2833,1.0,logs/09_sigma_sweep_p0.8_sigma0.9_p0.8.log,mac/09_sigma_sweep_p0.8_sigma0.9_p0.8.mac,ok,,sigma_sweep_p0p8
10,sigma_sweep_p0.8,1.0,0.8,0,5769.0,0.5769,418.0,0.0,0.0,514.0,3299.0,21.4353,1.0,logs/10_sigma_sweep_p0.8_sigma1_p0.8.log,mac/10_sigma_sweep_p0.8_sigma1_p0.8.mac,ok,,sigma_sweep_p0p8
0,p_sweep_selected_sigma,0.0,0.0,0,4899.0,0.4899,4137.0,0.0,0.0,0.0,964.0,22.8694,1.0,logs/00_p_sweep_selected_sigma_sigma0_p0.log,mac/00_p_sweep_selected_sigma_sigma0_p0.mac,ok,,p_sweep_selected_sigma
1,p_sweep_selected_sigma,0.0,0.5,0,4836.0,0.4836,647.0,0.0,0.0,498.0,4019.0,22.0649,1.0,logs/01_p_sweep_selected_sigma_sigma0_p0.5.log,mac/01_p_sweep_selected_sigma_sigma0_p0.5.mac,ok,,p_sweep_selected_sigma
2,p_sweep_selected_sigma,0.0,1.0,0,4442.0,0.4442,407.0,0.0,0.0,861.0,4290.0,21.3521,1.0,logs/02_p_sweep_selected_sigma_sigma0_p1.log,mac/02_p_sweep_selected_sigma_sigma0_p1.mac,ok,,p_sweep_selected_sigma
3,p_sweep_selected_sigma,0.1,0.0,0,8577.0,0.8577,833.0,0.0,0.0,0.0,590.0,20.1802,1.0,logs/03_p_sweep_selected_sigma_sigma0.1_p0.log,mac/03_p_sweep_selected_sigma_sigma0.1_p0.mac,ok,,p_sweep_selected_sigma
4,p_sweep_selected_sigma,0.1,0.5,0,6220.0,0.622,538.0,0.0,0.0,434.0,2808.0,20.075,1.0,logs/04_p_sweep_selected_sigma_sigma0.1_p0.5.log,mac/04_p_sweep_selected_sigma_sigma0.1_p0.5.mac,ok,,p_sweep_selected_sigma
5,p_sweep_selected_sigma,0.1,1.0,0,5080.0,0.512097,398.0,0.0,0.0,871.0,3571.0,20.1881,1.0,logs/05_p_sweep_selected_sigma_sigma0.1_p1.log,mac/05_p_sweep_selected_sigma_sigma0.1_p1.mac,ok,,p_sweep_selected_sigma
6,p_sweep_selected_sigma,0.3,0.0,0,8748.0,0.8748,793.0,0.0,0.0,0.0,459.0,20.5749,1.0,logs/06_p_sweep_selected_sigma_sigma0.3_p0.log,mac/06_p_sweep_selected_sigma_sigma0.3_p0.mac,ok,,p_sweep_selected_sigma
7,p_sweep_selected_sigma,0.3,0.5,0,6356.0,0.6356,536.0,0.0,0.0,387.0,2721.0,20.511,1.0,logs/07_p_sweep_selected_sigma_sigma0.3_p0.5.log,mac/07_p_sweep_selected_sigma_sigma0.3_p0.5.mac,ok,,p_sweep_selected_sigma
8,p_sweep_selected_sigma,0.3,1.0,0,5161.0,0.5161,402.0,0.0,0.0,800.0,3637.0,20.6476,1.0,logs/08_p_sweep_selected_sigma_sigma0.3_p1.log,mac/08_p_sweep_selected_sigma_sigma0.3_p1.mac,ok,,p_sweep_selected_sigma
9,p_sweep_selected_sigma,1.0,0.0,0,8937.0,0.8937,708.0,0.0,0.0,0.0,355.0,21.1357,1.0,logs/09_p_sweep_selected_sigma_sigma1_p0.log,mac/09_p_sweep_selected_sigma_sigma1_p0.mac,ok,,p_sweep_selected_sigma
10,p_sweep_selected_sigma,1.0,0.5,0,6518.0,0.6518,491.0,0.0,0.0,374.0,2617.0,21.2085,1.0,logs/10_p_sweep_selected_sigma_sigma1_p0.5.log,mac/10_p_sweep_selected_sigma_sigma1_p0.5.mac,ok,,p_sweep_selected_sigma
11,p_sweep_selected_sigma,1.0,1.0,0,5365.0,0.5365,390.0,0.0,0.0,629.0,3616.0,21.4703,1.0,logs/11_p_sweep_selected_sigma_sigma1_p1.log,mac/11_p_sweep_selected_sigma_sigma1_p1.mac,ok,,p_sweep_selected_sigma
